word,translation,phrase
"das Blumengeschäft (-e)","цветочный магазин","Meine Frau hat ein Blumengeschäft eröffnet."
"eröffnen","открывать (заведение, бизнес)","Sie möchte nächstes Jahr ein eigenes Café eröffnen."
"der Besitzer / die Besitzerin","владелец / владелица","Sie ist die Besitzerin des Blumengeschäfts."
"das Dorf (Dörfer)","деревня","Vor Berlin haben wir in einem kleinen Dorf in Hessen gewohnt."
"die Kultur (-en)","культура","In Deutschland haben wir die Kultur des Landes richtig gefühlt."
"das Lied (-er)","песня","Dieses Lied gefällt mir besonders gut."
"gefallen (+ Dat)","нравиться","Wie gefällt dir die neue Wohnung?"
"besonders","особенно","Heute war es draußen besonders kalt."
"etwas Besonderes","нечто особенное","Zum Jubiläum planen wir etwas Besonderes."
"am liebsten","больше всего, охотнее всего","Am liebsten trinke ich morgens einen Kaffee."
"feiern (hat gefeiert)","праздновать","Wir haben gestern seinen Geburtstag gefeiert."
"der Körper (-)","тело","Sport ist gut für den Körper."
"der Kopf (Köpfe)","голова","Mir tut heute der Kopf weh."
"sowohl … als auch","как …, так и …","Ich spreche sowohl Deutsch als auch Englisch."
"die Ausnahme (-n)","исключение","Heute mache ich eine Ausnahme und bleibe länger."
"genug","достаточно","Wir haben genug Zeit für einen Kaffee."
"sich erinnern an (+ Akk)","помнить, вспоминать (о)","Ich erinnere mich gut an unseren Urlaub in Italien."
"träumen von (+ Dat)","мечтать о; видеть во сне","Ich träume von einer langen Reise durch Asien."
"anhaben (hat angehabt)","быть одетым (в что-то)","Heute habe ich ein blaues Hemd an."
"das Hemd (-en)","рубашка","Das Hemd passt dir wirklich gut."
"finden (hat gefunden)","находить","Ich habe meinen Schlüssel endlich gefunden."
"wem","кому (Dativ от wer)","Wem hast du das Buch gegeben?"
"einfallen (jdm fällt etwas ein)","приходить на ум","Mir fällt sein Name gerade nicht ein."
"glauben an (+ Akk)","верить в","Ich glaube an dich – du schaffst die Prüfung."
"die Vorlesung (-en)","лекция","Die Vorlesung beginnt morgen um neun Uhr."
"der Enkel (-)","внук","Mein Enkel geht seit September in die Schule."
"die Enkelin (-nen)","внучка","Seine Enkelin wohnt in Hamburg."
"unverändert","неизменный, без изменений","Die Situation bleibt seit Wochen unverändert."
"einsteigen in (+ Akk)","садиться (в транспорт)","Wir steigen in den Zug nach München ein."
"aussteigen aus (+ Dat)","выходить (из транспорта)","An der nächsten Haltestelle steige ich aus dem Bus aus."
"das Ergebnis (-se)","результат","Das Ergebnis der Prüfung kommt nächste Woche."
"erzählen","рассказывать","Ich habe ihr die ganze Geschichte erzählt."
"die Geschichte (-n)","история, рассказ","Erzähl mir bitte die Geschichte noch einmal."
"verstehen (hat verstanden)","понимать","Ich habe nicht alles verstanden, sprich bitte langsamer."
"anrufen (hat angerufen)","звонить (по телефону)","Ruf ihn heute Abend an – ich habe ihn schon angerufen."
"treffen (hat getroffen)","встречать","Gestern habe ich seinen Freund in der Stadt getroffen."
"Bescheid sagen / geben","дать знать, сообщить","Sag mir bitte Bescheid, wenn du ankommst."
"Bescheid wissen","быть в курсе","Keine Sorge, ich weiß schon Bescheid."
"mögen","любить; хотеть (в вопросе)","Magst du einen Tee oder lieber einen Kaffee?"
"möchten","хотеть бы","Möchtest du noch ein Stück Kuchen?"
"gern(e) trinken","охотно пить","Trinkst du gern Kaffee am Morgen?"
"hell","светлый, яркий","Mach das Licht bitte nicht so hell."
"nacherzählen","пересказывать","Kannst du den Text mit eigenen Worten nacherzählen?"
"die Nacherzählung (-en)","пересказ","Die Nacherzählung des Films war ziemlich lang."
"vielleicht","может быть","Vielleicht gehen wir am Wochenende ins Kino."
"zuerst","сначала","Zuerst machen wir die Hausaufgaben, dann spielen wir."
"danach","после этого, потом","Wir essen zu Abend und danach sehen wir einen Film."
"dann","затем","Erst kommt die Arbeit, dann das Vergnügen."
"außerdem","кроме того","Das Hotel war teuer. Außerdem war das Zimmer zu klein."
"zuletzt","напоследок, в конце","Zuletzt möchte ich mich bei allen bedanken."
"beziehungsweise (bzw.)","или; то есть, а именно","Wir treffen uns am Montag bzw. Dienstag."
"mitteilen","сообщать","Bitte teilen Sie uns Ihre neue Adresse mit."
"vollkommen / völlig","совершенно, полностью","Da hast du vollkommen recht."
"während (+ Gen)","во время, в течение","Während des Tages bin ich meistens im Büro."
"während (союз)","в то время как","Ich höre Musik, während ich koche."
"bummeln","гулять, прогуливаться (не спеша)","Am Samstag bummeln wir gern durch die Stadt."
"entfallen (es ist mir entfallen)","вылететь из головы, забыться","Entschuldigung, Ihr Name ist mir entfallen."
"als (союз)","когда (однократно в прошлом)","Als ich in England war, habe ich einen Sprachkurs besucht."
"der Sprachkurs (-e)","языковой курс","Ich möchte im Sommer einen Sprachkurs besuchen."
"besuchen","посещать","Wir besuchen am Wochenende unsere Großeltern."
"die Ausbildung (-en)","обучение, профессиональное образование","Wenn ich mit der Ausbildung fertig bin, suche ich einen Job."
"fertig sein mit (+ Dat)","закончить с (чем-то)","Bist du mit der Arbeit schon fertig?"
"seitdem","с тех пор как","Seitdem ich in Berlin wohne, fahre ich viel Fahrrad."
"eine Entscheidung treffen","принять решение","Wir müssen bald eine wichtige Entscheidung treffen."
"erledigen","выполнять, улаживать (доводить до конца)","Ich muss heute noch ein paar Dinge erledigen."
"der Vorteil (-e)","преимущество","Ein großer Vorteil dieser Wohnung ist der Balkon."
"der Nachteil (-e)","недостаток","Der Nachteil ist, dass es hier sehr laut ist."
"schwänzen","прогуливать, пропускать (занятия)","Er hat heute die Schule geschwänzt."
"der Grund (Gründe)","причина","Das ist der Grund, warum wir umgezogen sind."
"umziehen (ist umgezogen)","переезжать","Nächsten Monat ziehen wir nach Köln um."
"so … wie","так(ой) же … как","Dieses Brot ist so gut wie jenes."
"jener / jene / jenes","тот / та / то","Dieses Buch gefällt mir besser als jenes."
"ab und zu","время от времени","Ab und zu gehe ich ins Theater."
"von Zeit zu Zeit","время от времени","Von Zeit zu Zeit rufe ich meine alten Freunde an."
"hin und her","туда-сюда","Er läuft nervös im Zimmer hin und her."
"einige","несколько","Ich habe noch einige Fragen an Sie."
"erwarten","ожидать","Wir erwarten morgen wichtige Gäste."
"operieren","оперировать","Der Arzt muss den Patienten sofort operieren."
"werden + Partizip II (Passiv)","пассив: действие важнее, чем кто его делает","Das Buch wird von vielen Menschen gelesen."
"abhängig von (+ Dat)","зависимый от","Viele Menschen sind zu abhängig von ihrem Handy."
"sich vorbereiten auf (+ Akk)","готовиться к","Ich bereite mich gerade auf die Prüfung vor."
"die Prüfung (-en)","экзамен","Die Prüfung war schwerer als erwartet."
"sich interessieren für (+ Akk)","интересоваться","Wofür interessierst du dich in deiner Freizeit?"
"gratulieren zu (+ Dat)","поздравлять с","Ich gratuliere dir zum Geburtstag!"
"sich zurückhalten","сдерживаться","Beim Essen konnte ich mich kaum zurückhalten."
"kaum","едва, почти не","Ich kann es kaum glauben."
"verschieden","разный, различный","Wir haben ganz verschiedene Meinungen."
"sich treffen (mit + Dat)","встречаться","Wir treffen uns morgen um drei vor dem Kino."
"sich ärgern über (+ Akk)","сердиться, злиться на","Ich ärgere mich über den schlechten Service."
"worüber","о чём","Worüber habt ihr so lange gesprochen?"
"wovon","о чём; от чего","Wovon träumst du am meisten?"
"schmeißen (eine Party schmeißen)","швырять; (разг.) закатить вечеринку","Am Samstag schmeißen wir eine große Party."
"veranstalten","устраивать, организовывать","Die Schule veranstaltet jedes Jahr ein Sommerfest."
"die Veranstaltung (-en)","мероприятие","Die Veranstaltung beginnt um acht Uhr."
"organisieren","организовывать","Wer organisiert die Feier dieses Jahr?"
"sich engagieren für (+ Akk)","активно участвовать, быть вовлечённым","Sie engagiert sich für den Umweltschutz."
"das Engagement für (+ Akk)","вовлечённость, активное участие","Sein Engagement für die Schule ist beeindruckend."
"eine Prüfung ablegen / absolvieren / bestehen","сдавать / сдать экзамен","Nächste Woche lege ich meine Prüfung ab und hoffentlich bestehe ich sie."
"an etwas teilnehmen (an + Dat)","участвовать в","Ich möchte an dem Sprachkurs teilnehmen."
"eine Aufgabe lösen","решать задачу/задание","Diese Aufgabe konnte ich schnell lösen."
"eine Frage stellen","задавать вопрос","Darf ich Ihnen eine Frage stellen?"
"eine Frage beantworten","отвечать на вопрос","Können Sie mir diese Frage beantworten?"
"eine Lösung finden","находить решение","Gemeinsam finden wir bestimmt eine Lösung."
"präsentieren","представлять, презентовать","Morgen präsentiere ich mein Projekt vor der Klasse."
"aufschreiben","записывать","Schreib dir die neuen Wörter auf!"
"nachschlagen","смотреть (в словаре/справочнике)","Dieses Wort musst du im Wörterbuch nachschlagen."
