"das Blumengeschäft (-e)";"цветочный магазин";"Meine Frau hat ein Blumengeschäft eröffnet.";"Моя жена открыла цветочный магазин."
"eröffnen";"открывать (заведение, бизнес)";"Sie möchte nächstes Jahr ein eigenes Café eröffnen.";"В следующем году она хочет открыть собственное кафе."
"der Besitzer / die Besitzerin";"владелец / владелица";"Sie ist die Besitzerin des Blumengeschäfts.";"Она владелица цветочного магазина."
"das Dorf (Dörfer)";"деревня";"Vor Berlin haben wir in einem kleinen Dorf in Hessen gewohnt.";"До Берлина мы жили в маленькой деревне в Гессене."
"die Kultur (-en)";"культура";"In Deutschland haben wir die Kultur des Landes richtig gefühlt.";"В Германии мы по-настоящему почувствовали культуру страны."
"das Lied (-er)";"песня";"Dieses Lied gefällt mir besonders gut.";"Эта песня мне особенно нравится."
"gefallen (+ Dat)";"нравиться";"Wie gefällt dir die neue Wohnung?";"Как тебе нравится новая квартира?"
"besonders";"особенно";"Heute war es draußen besonders kalt.";"Сегодня на улице было особенно холодно."
"etwas Besonderes";"нечто особенное";"Zum Jubiläum planen wir etwas Besonderes.";"На юбилей мы планируем нечто особенное."
"am liebsten";"больше всего, охотнее всего";"Am liebsten trinke ich morgens einen Kaffee.";"Больше всего я люблю пить по утрам кофе."
"feiern (hat gefeiert)";"праздновать";"Wir haben gestern seinen Geburtstag gefeiert.";"Вчера мы праздновали его день рождения."
"der Körper (-)";"тело";"Sport ist gut für den Körper.";"Спорт полезен для тела."
"der Kopf (Köpfe)";"голова";"Mir tut heute der Kopf weh.";"У меня сегодня болит голова."
"sowohl … als auch";"как …, так и …";"Ich spreche sowohl Deutsch als auch Englisch.";"Я говорю как на немецком, так и на английском."
"die Ausnahme (-n)";"исключение";"Heute mache ich eine Ausnahme und bleibe länger.";"Сегодня я сделаю исключение и останусь дольше."
"genug";"достаточно";"Wir haben genug Zeit für einen Kaffee.";"У нас достаточно времени на кофе."
"sich erinnern an (+ Akk)";"помнить, вспоминать (о)";"Ich erinnere mich gut an unseren Urlaub in Italien.";"Я хорошо помню наш отпуск в Италии."
"träumen von (+ Dat)";"мечтать о; видеть во сне";"Ich träume von einer langen Reise durch Asien.";"Я мечтаю о долгом путешествии по Азии."
"anhaben (hat angehabt)";"быть одетым (в что-то)";"Heute habe ich ein blaues Hemd an.";"Сегодня на мне голубая рубашка."
"das Hemd (-en)";"рубашка";"Das Hemd passt dir wirklich gut.";"Эта рубашка тебе действительно идёт."
"finden (hat gefunden)";"находить";"Ich habe meinen Schlüssel endlich gefunden.";"Я наконец нашёл свой ключ."
"wem";"кому (Dativ от wer)";"Wem hast du das Buch gegeben?";"Кому ты отдал книгу?"
"einfallen (jdm fällt etwas ein)";"приходить на ум";"Mir fällt sein Name gerade nicht ein.";"Я сейчас не могу вспомнить его имя."
"glauben an (+ Akk)";"верить в";"Ich glaube an dich – du schaffst die Prüfung.";"Я верю в тебя — ты сдашь экзамен."
"die Vorlesung (-en)";"лекция";"Die Vorlesung beginnt morgen um neun Uhr.";"Лекция начинается завтра в девять часов."
"der Enkel (-)";"внук";"Mein Enkel geht seit September in die Schule.";"Мой внук с сентября ходит в школу."
"die Enkelin (-nen)";"внучка";"Seine Enkelin wohnt in Hamburg.";"Его внучка живёт в Гамбурге."
"unverändert";"неизменный, без изменений";"Die Situation bleibt seit Wochen unverändert.";"Ситуация уже несколько недель остаётся без изменений."
"einsteigen in (+ Akk)";"садиться (в транспорт)";"Wir steigen in den Zug nach München ein.";"Мы садимся в поезд до Мюнхена."
"aussteigen aus (+ Dat)";"выходить (из транспорта)";"An der nächsten Haltestelle steige ich aus dem Bus aus.";"На следующей остановке я выхожу из автобуса."
"das Ergebnis (-se)";"результат";"Das Ergebnis der Prüfung kommt nächste Woche.";"Результат экзамена будет на следующей неделе."
"erzählen";"рассказывать";"Ich habe ihr die ganze Geschichte erzählt.";"Я рассказал ей всю историю."
"die Geschichte (-n)";"история, рассказ";"Erzähl mir bitte die Geschichte noch einmal.";"Расскажи мне, пожалуйста, эту историю ещё раз."
"verstehen (hat verstanden)";"понимать";"Ich habe nicht alles verstanden, sprich bitte langsamer.";"Я не всё понял, говори, пожалуйста, медленнее."
"anrufen (hat angerufen)";"звонить (по телефону)";"Ruf ihn heute Abend an – ich habe ihn schon angerufen.";"Позвони ему сегодня вечером — я ему уже звонил."
"treffen (hat getroffen)";"встречать";"Gestern habe ich seinen Freund in der Stadt getroffen.";"Вчера я встретил его друга в городе."
"Bescheid sagen / geben";"дать знать, сообщить";"Sag mir bitte Bescheid, wenn du ankommst.";"Дай мне, пожалуйста, знать, когда приедешь."
"Bescheid wissen";"быть в курсе";"Keine Sorge, ich weiß schon Bescheid.";"Не волнуйся, я уже в курсе."
"mögen";"любить; хотеть (в вопросе)";"Magst du einen Tee oder lieber einen Kaffee?";"Будешь чай или лучше кофе?"
"möchten";"хотеть бы";"Möchtest du noch ein Stück Kuchen?";"Хочешь ещё кусочек торта?"
"gern(e) trinken";"охотно пить";"Trinkst du gern Kaffee am Morgen?";"Ты любишь пить кофе по утрам?"
"hell";"светлый, яркий";"Mach das Licht bitte nicht so hell.";"Сделай свет, пожалуйста, не таким ярким."
"nacherzählen";"пересказывать";"Kannst du den Text mit eigenen Worten nacherzählen?";"Можешь пересказать текст своими словами?"
"die Nacherzählung (-en)";"пересказ";"Die Nacherzählung des Films war ziemlich lang.";"Пересказ фильма был довольно длинным."
"vielleicht";"может быть";"Vielleicht gehen wir am Wochenende ins Kino.";"Может быть, на выходных мы сходим в кино."
"zuerst";"сначала";"Zuerst machen wir die Hausaufgaben, dann spielen wir.";"Сначала мы сделаем домашнее задание, потом поиграем."
"danach";"после этого, потом";"Wir essen zu Abend und danach sehen wir einen Film.";"Мы поужинаем, а после этого посмотрим фильм."
"dann";"затем";"Erst kommt die Arbeit, dann das Vergnügen.";"Сначала работа, потом развлечения."
"außerdem";"кроме того";"Das Hotel war teuer. Außerdem war das Zimmer zu klein.";"Отель был дорогим. Кроме того, номер был слишком маленьким."
"zuletzt";"напоследок, в конце";"Zuletzt möchte ich mich bei allen bedanken.";"Напоследок я хочу поблагодарить всех."
"beziehungsweise (bzw.)";"или; то есть, а именно";"Wir treffen uns am Montag bzw. Dienstag.";"Мы встретимся в понедельник или, точнее, во вторник."
"mitteilen";"сообщать";"Bitte teilen Sie uns Ihre neue Adresse mit.";"Пожалуйста, сообщите нам ваш новый адрес."
"vollkommen / völlig";"совершенно, полностью";"Da hast du vollkommen recht.";"Тут ты совершенно прав."
"während (+ Gen)";"во время, в течение";"Während des Tages bin ich meistens im Büro.";"В течение дня я обычно в офисе."
"während (союз)";"в то время как";"Ich höre Musik, während ich koche.";"Я слушаю музыку, пока готовлю."
"bummeln";"гулять, прогуливаться (не спеша)";"Am Samstag bummeln wir gern durch die Stadt.";"По субботам мы любим гулять по городу."
"entfallen (es ist mir entfallen)";"вылететь из головы, забыться";"Entschuldigung, Ihr Name ist mir entfallen.";"Извините, ваше имя вылетело у меня из головы."
"als (союз)";"когда (однократно в прошлом)";"Als ich in England war, habe ich einen Sprachkurs besucht.";"Когда я был в Англии, я ходил на языковой курс."
"der Sprachkurs (-e)";"языковой курс";"Ich möchte im Sommer einen Sprachkurs besuchen.";"Летом я хочу пойти на языковой курс."
"besuchen";"посещать";"Wir besuchen am Wochenende unsere Großeltern.";"На выходных мы навещаем бабушку с дедушкой."
"die Ausbildung (-en)";"обучение, профессиональное образование";"Wenn ich mit der Ausbildung fertig bin, suche ich einen Job.";"Когда я закончу обучение, я буду искать работу."
