das Blumengeschäft (-e)	цветочный магазин
eröffnen	открывать (заведение, бизнес)
der Besitzer / die Besitzerin	владелец / владелица
das Dorf (Dörfer)	деревня
die Kultur (-en)	культура
das Lied (-er)	песня
gefallen (+ Dat)	нравиться
besonders	особенно
etwas Besonderes	нечто особенное
am liebsten	больше всего, охотнее всего
feiern (hat gefeiert)	праздновать
der Körper (-)	тело
der Kopf (Köpfe)	голова
sowohl … als auch	как …, так и …
die Ausnahme (-n)	исключение
genug	достаточно
sich erinnern an (+ Akk)	помнить, вспоминать (о)
träumen von (+ Dat)	мечтать о; видеть во сне
anhaben (hat angehabt)	быть одетым (в что-то)
das Hemd (-en)	рубашка
finden (hat gefunden)	находить
wem	кому (Dativ от wer)
einfallen (jdm fällt etwas ein)	приходить на ум
glauben an (+ Akk)	верить в
die Vorlesung (-en)	лекция
der Enkel (-)	внук
die Enkelin (-nen)	внучка
unverändert	неизменный, без изменений
einsteigen in (+ Akk)	садиться (в транспорт)
aussteigen aus (+ Dat)	выходить (из транспорта)
das Ergebnis (-se)	результат
erzählen	рассказывать
die Geschichte (-n)	история, рассказ
verstehen (hat verstanden)	понимать
anrufen (hat angerufen)	звонить (по телефону)
treffen (hat getroffen)	встречать
Bescheid sagen / geben	дать знать, сообщить
Bescheid wissen	быть в курсе
mögen	любить; хотеть (в вопросе)
möchten	хотеть бы
gern(e) trinken	охотно пить
hell	светлый, яркий
nacherzählen	пересказывать
die Nacherzählung (-en)	пересказ
vielleicht	может быть
zuerst	сначала
danach	после этого, потом
dann	затем
außerdem	кроме того
zuletzt	напоследок, в конце
beziehungsweise (bzw.)	или; то есть, а именно
mitteilen	сообщать
vollkommen / völlig	совершенно, полностью
während (+ Gen)	во время, в течение
während (союз)	в то время как
bummeln	гулять, прогуливаться (не спеша)
entfallen (es ist mir entfallen)	вылететь из головы, забыться
als (союз)	когда (однократно в прошлом)
der Sprachkurs (-e)	языковой курс
besuchen	посещать
die Ausbildung (-en)	обучение, профессиональное образование
fertig sein mit (+ Dat)	закончить с (чем-то)
seitdem	с тех пор как
eine Entscheidung treffen	принять решение
erledigen	выполнять, улаживать (доводить до конца)
der Vorteil (-e)	преимущество
der Nachteil (-e)	недостаток
schwänzen	прогуливать, пропускать (занятия)
der Grund (Gründe)	причина
umziehen (ist umgezogen)	переезжать
so … wie	так(ой) же … как
jener / jene / jenes	тот / та / то
ab und zu	время от времени
von Zeit zu Zeit	время от времени
hin und her	туда-сюда
einige	несколько
erwarten	ожидать
operieren	оперировать
werden + Partizip II (Passiv)	пассив: действие важнее, чем кто его делает
abhängig von (+ Dat)	зависимый от
sich vorbereiten auf (+ Akk)	готовиться к
die Prüfung (-en)	экзамен
sich interessieren für (+ Akk)	интересоваться
gratulieren zu (+ Dat)	поздравлять с
sich zurückhalten	сдерживаться
kaum	едва, почти не
verschieden	разный, различный
sich treffen (mit + Dat)	встречаться
sich ärgern über (+ Akk)	сердиться, злиться на
worüber	о чём
wovon	о чём; от чего
schmeißen (eine Party schmeißen)	швырять; (разг.) закатить вечеринку
veranstalten	устраивать, организовывать
die Veranstaltung (-en)	мероприятие
organisieren	организовывать
sich engagieren für (+ Akk)	активно участвовать, быть вовлечённым
das Engagement für (+ Akk)	вовлечённость, активное участие
eine Prüfung ablegen / absolvieren / bestehen	сдавать / сдать экзамен
an etwas teilnehmen (an + Dat)	участвовать в
eine Aufgabe lösen	решать задачу/задание
eine Frage stellen	задавать вопрос
eine Frage beantworten	отвечать на вопрос
eine Lösung finden	находить решение
präsentieren	представлять, презентовать
aufschreiben	записывать
nachschlagen	смотреть (в словаре/справочнике)
